event_id,event_date,affected_city,disruption_type,severity_level,duration_days,delay_caused_days,estimated_cost_impact_inr,transport_mode_affected,disruption_occurred
EVT00318,2021-12-17,Pune,Road Accident,High,20,10,441767.29,Road,1
EVT00319,2023-05-02,Lucknow,Heatwave,High,5,2,1666392.55,Air,1
EVT00320,2022-11-17,Surat,Heatwave,Medium,19,11,2269548.79,Air,1
EVT00321,2022-04-13,Jaipur,Cyclone,High,4,14,2917421.4,Rail,1
EVT00322,2021-08-21,Jaipur,Infrastructure Failure,High,21,12,641963.17,Rail,1
EVT00323,2024-02-11,Bangalore,Fuel Shortage,Critical,19,12,3293529.81,Rail,1
EVT00324,2023-12-06,Ahmedabad,Political Unrest,Medium,13,19,4872946.57,Rail,1
EVT00325,2023-10-09,Pune,Heatwave,Low,4,7,4588512.49,Road,1
EVT00326,2023-09-08,Nagpur,Heatwave,Low,11,21,3722788.39,All,1
EVT00327,2023-05-06,Kanpur,Heavy Snowfall,Low,9,17,3553314.55,Road+Rail,1
EVT00328,2021-04-28,Ahmedabad,Fuel Shortage,Medium,17,2,3213923.22,Road,1
EVT00329,2021-01-25,Ahmedabad,Heatwave,Critical,9,22,4334779.17,Air,1
EVT00330,2022-07-17,Hyderabad,Flood,Critical,2,6,4668495.15,Road,1
EVT00331,2021-05-10,Ahmedabad,Fuel Shortage,Medium,5,11,4470638.72,Road+Rail,1
EVT00332,2022-11-01,Surat,Fuel Shortage,Low,21,24,4585309.1,All,1
EVT00333,2021-04-24,Nagpur,Heavy Snowfall,Medium,17,22,125144.18,Rail,1
EVT00334,2022-07-06,Hyderabad,Heatwave,Low,7,23,801042.24,Road,1
EVT00335,2022-02-28,Ahmedabad,Flood,Low,8,17,264843.84,Air,1
EVT00336,2022-07-15,Chennai,None,Low,0,0,9554.59,Air,0
EVT00337,2023-11-27,Jaipur,Infrastructure Failure,Medium,16,25,4687319.07,Road+Rail,1
EVT00338,2022-04-30,Lucknow,Fuel Shortage,High,21,17,2117819.14,All,1
EVT00339,2023-10-02,Kanpur,None,Low,0,0,7147.54,Road+Rail,0
EVT00340,2022-11-29,Bhopal,Political Unrest,Critical,15,24,1290342.75,Road,1
EVT00341,2021-06-17,Delhi,None,Low,0,0,5594.79,Rail,0
EVT00342,2024-04-08,Indore,Flood,Low,14,21,3842063.13,Rail,1
EVT00343,2022-12-28,Ahmedabad,Fuel Shortage,High,4,1,1317560.65,Road,1
EVT00344,2021-10-14,Kolkata,Heavy Snowfall,Low,1,12,3126712.48,All,1
EVT00345,2022-08-04,Kolkata,Flood,High,10,19,4907071.25,Road,1
EVT00346,2024-03-13,Kanpur,Heavy Snowfall,High,1,15,622148.92,Road+Rail,1
EVT00347,2022-08-24,Hyderabad,Infrastructure Failure,Low,7,9,4742436.07,Air,1
EVT00348,2021-09-14,Bhopal,Heavy Snowfall,Medium,2,17,1618328.16,Road,1
EVT00349,2022-01-25,Hyderabad,Heavy Snowfall,Low,6,14,4360068.08,Air,1
EVT00350,2021-01-15,Jaipur,Flood,Medium,18,15,3303219.15,Air,1
EVT00351,2022-10-22,Nagpur,Infrastructure Failure,Critical,18,13,4223182.49,Road+Rail,1
EVT00352,2023-05-20,Kolkata,Political Unrest,Low,14,17,2275743.63,Road+Rail,1
EVT00353,2022-10-05,Chennai,Flood,Critical,18,7,2225259.28,Road+Rail,1
EVT00354,2021-12-01,Jaipur,Strike,High,17,15,400872.22,Air,1
EVT00355,2022-11-13,Indore,Heavy Snowfall,High,18,19,3699166.14,Road,1
EVT00356,2021-06-18,Pune,Heatwave,Low,16,9,1241968.77,Road+Rail,1
EVT00357,2022-08-20,Chennai,Road Accident,Low,19,10,3030436.86,Rail,1
EVT00358,2021-07-20,Indore,Heavy Snowfall,Low,19,16,2226743.48,Road,1
EVT00359,2021-04-02,Surat,Road Accident,Low,5,7,3236350.86,Air,1
EVT00360,2022-01-01,Mumbai,Heavy Snowfall,Critical,3,8,2766743.25,Road,1
EVT00361,2022-04-18,Pune,Fuel Shortage,Medium,18,4,2928632.7,All,1
EVT00362,2022-04-19,Jaipur,Road Accident,High,2,15,4112230.58,All,1
EVT00363,2021-10-12,Indore,Heatwave,Medium,3,6,3413707.82,Air,1
EVT00364,2021-08-03,Nagpur,Infrastructure Failure,Low,2,22,3208111.42,Rail,1
EVT00365,2021-09-20,Lucknow,Heavy Snowfall,Low,14,23,1161596.5,Air,1
EVT00366,2022-11-20,Kanpur,Cyclone,High,6,1,3220783.96,Air,1
EVT00367,2023-01-27,Kanpur,Fuel Shortage,Low,3,8,3076033.23,Road,1
EVT00368,2021-03-31,Mumbai,Cyclone,High,5,1,3916847.63,Rail,1
EVT00369,2022-06-01,Kanpur,Political Unrest,Low,18,10,3207835.41,Road,1
EVT00370,2022-09-08,Jaipur,Cyclone,Low,16,12,4488515.98,Air,1
EVT00371,2022-07-14,Hyderabad,Flood,High,21,13,1625306.73,Air,1
EVT00372,2022-06-28,Chennai,Heavy Snowfall,Critical,10,1,1988005.32,Road+Rail,1
EVT00373,2021-12-04,Delhi,Cyclone,Medium,9,4,583865.56,Road+Rail,1
EVT00374,2021-11-08,Jaipur,Fuel Shortage,High,9,12,2713308.36,Road+Rail,1
EVT00375,2022-11-20,Kanpur,Cyclone,Low,10,1,2789306.88,All,1
EVT00376,2021-07-20,Chennai,Flood,Critical,5,21,1207220.83,Rail,1
EVT00377,2022-03-02,Lucknow,Road Accident,Critical,3,8,2986805.34,Road,1
EVT00378,2021-01-19,Mumbai,Road Accident,Critical,20,10,93341.31,Road+Rail,1
EVT00379,2022-03-01,Kanpur,Infrastructure Failure,High,17,24,226987.18,All,1
EVT00380,2021-07-22,Bangalore,Pandemic,High,3,15,3676260.26,Road,1
EVT00381,2023-08-14,Kanpur,Road Accident,Medium,1,23,4969469.58,All,1
EVT00382,2022-08-28,Pune,Heatwave,Critical,6,3,3119606.36,All,1
EVT00383,2023-08-03,Jaipur,Fuel Shortage,Medium,12,25,2574346.52,Air,1
EVT00384,2022-01-28,Surat,Political Unrest,Low,16,11,2193626.29,Road,1
EVT00385,2022-05-18,Mumbai,Heatwave,Medium,20,7,447169.53,Road,1
EVT00386,2022-12-15,Delhi,None,Low,0,0,4656.25,All,0
EVT00387,2023-12-22,Mumbai,Strike,High,9,14,3995802.99,Air,1
EVT00388,2021-10-04,Surat,Political Unrest,Medium,14,7,1803557.86,Air,1
EVT00389,2022-03-14,Bangalore,Flood,Low,13,5,4380648.67,Air,1
EVT00390,2021-10-24,Hyderabad,Infrastructure Failure,Critical,19,1,4572811.61,Rail,1
EVT00391,2023-01-26,Bangalore,Road Accident,Low,12,15,1452678.13,All,1
EVT00392,2024-03-22,Indore,Heavy Snowfall,Low,18,23,1625638.26,Road,1
EVT00393,2021-08-24,Mumbai,Road Accident,Medium,17,6,2904152.22,Road,1
EVT00394,2021-05-20,Bhopal,Heatwave,Medium,9,4,2498654.87,Road+Rail,1
EVT00395,2023-01-17,Delhi,Political Unrest,Medium,21,9,3405889.96,Rail,1
EVT00396,2022-03-10,Pune,None,Low,0,0,9901.29,Road+Rail,0
EVT00397,2023-04-13,Kanpur,None,Low,0,0,5680.27,Rail,0
EVT00398,2021-01-22,Bangalore,Strike,Low,4,2,522659.13,All,1
EVT00399,2022-08-27,Bhopal,None,Low,0,0,6669.9,Road+Rail,0
EVT00400,2023-08-27,Bhopal,Infrastructure Failure,High,17,9,4406993.99,All,1
EVT00401,2021-05-02,Lucknow,Pandemic,Critical,4,25,2709160.72,Road,1
EVT00402,2022-07-09,Surat,Road Accident,Low,3,7,2117156.64,Rail,1
EVT00403,2022-07-15,Mumbai,None,Low,0,0,4311.16,Rail,0
EVT00404,2022-03-19,Kolkata,Strike,Medium,8,7,3864566.16,Road+Rail,1
EVT00405,2021-06-05,Lucknow,Pandemic,High,9,19,3216734.47,All,1
EVT00406,2023-10-28,Hyderabad,Cyclone,Critical,10,17,3268089.2,Air,1
EVT00407,2022-02-16,Indore,Strike,Medium,9,16,3833460.98,Air,1
EVT00408,2021-08-08,Pune,None,Low,1,0,9044.7,All,0
EVT00409,2023-08-07,Mumbai,None,Low,1,0,4323.93,Air,0
EVT00410,2021-02-07,Delhi,Flood,High,19,8,438890.75,Road+Rail,1
EVT00411,2021-04-13,Surat,Infrastructure Failure,High,15,6,4631407.21,Road+Rail,1
EVT00412,2021-10-13,Indore,Strike,Critical,8,15,384497.78,Road+Rail,1
EVT00413,2023-05-13,Hyderabad,Strike,Critical,10,8,4984775.22,Air,1
EVT00414,2022-11-02,Delhi,None,Low,0,0,3816.17,All,0
EVT00415,2022-05-06,Mumbai,None,Low,0,0,9687.23,Road+Rail,0
EVT00416,2022-08-02,Bhopal,Heavy Snowfall,Medium,19,21,3686272.98,Road+Rail,1
EVT00417,2023-06-20,Chennai,None,Low,1,0,6342.24,Air,0
EVT00418,2023-10-02,Delhi,Flood,High,20,19,898934.11,Road,1
EVT00419,2021-04-14,Kanpur,Road Accident,Critical,20,16,4234995.34,Air,1
EVT00420,2021-10-30,Lucknow,Fuel Shortage,Low,13,19,2016530.21,Road,1
EVT00421,2022-07-11,Kolkata,Heatwave,Critical,10,9,1077240.23,Air,1
EVT00422,2023-08-16,Pune,Infrastructure Failure,Critical,15,4,3248485.76,Air,1
EVT00423,2023-06-23,Mumbai,Heatwave,Critical,16,1,3961003.07,Road,1
EVT00424,2021-07-05,Surat,Road Accident,Low,1,7,759817.39,Road,1
EVT00425,2024-02-14,Mumbai,Strike,Low,20,6,2555829.3,Air,1
EVT00426,2022-03-20,Bangalore,Cyclone,Medium,13,20,1727351.56,Air,1
EVT00427,2023-07-06,Chennai,Flood,Low,21,22,2061541.94,Rail,1
EVT00428,2023-02-25,Indore,Heavy Snowfall,High,14,20,2337625.41,All,1
EVT00429,2023-09-07,Bangalore,Strike,Critical,17,24,3773444.95,Air,1
EVT00430,2023-07-10,Nagpur,Political Unrest,High,11,18,860084.18,Rail,1
EVT00431,2022-10-17,Bhopal,Flood,Medium,7,21,4811412.57,Road+Rail,1
EVT00432,2023-08-12,Mumbai,Fuel Shortage,Medium,6,7,4294779.19,Air,1
EVT00433,2022-12-07,Ahmedabad,Fuel Shortage,Critical,15,20,774463.05,All,1
EVT00434,2023-10-28,Chennai,Pandemic,High,14,7,2935134.83,Road+Rail,1
EVT00435,2022-09-13,Jaipur,Heatwave,Critical,8,23,2920370.88,All,1
EVT00436,2022-07-22,Mumbai,None,Low,1,0,3158.29,Road+Rail,0
EVT00437,2022-01-05,Hyderabad,Fuel Shortage,Medium,19,3,1235325.88,Rail,1
EVT00438,2022-09-17,Kolkata,Flood,Critical,2,7,2394768.75,Road+Rail,1
EVT00439,2023-08-03,Hyderabad,Strike,Low,13,21,413524.77,All,1
EVT00440,2021-04-13,Bhopal,Heatwave,High,20,25,271080.66,Rail,1
EVT00441,2023-11-15,Surat,Fuel Shortage,Low,16,18,1027282.78,Rail,1
EVT00442,2021-04-18,Mumbai,Political Unrest,High,16,24,3054839.51,Road,1
EVT00443,2023-05-15,Chennai,Strike,Medium,14,18,1890248.16,All,1
EVT00444,2022-02-10,Kolkata,Infrastructure Failure,Medium,11,24,2487496.58,Road+Rail,1
EVT00445,2022-06-07,Hyderabad,Political Unrest,Medium,12,15,3278233.98,Air,1
EVT00446,2021-12-18,Ahmedabad,Cyclone,Critical,6,8,201957.33,All,1
EVT00447,2022-03-22,Hyderabad,Political Unrest,Medium,1,21,1163977.03,Air,1
EVT00448,2021-07-28,Bangalore,Infrastructure Failure,Critical,18,15,2389720.85,Road,1
EVT00449,2022-05-08,Hyderabad,Infrastructure Failure,Low,8,22,3407155.79,All,1
EVT00450,2023-01-20,Kolkata,Political Unrest,Medium,14,17,1996476.23,Road,1
EVT00451,2022-05-20,Kanpur,Road Accident,Low,20,15,1978763.03,Rail,1
EVT00452,2021-07-23,Chennai,Heatwave,High,14,11,4766832.15,Road+Rail,1
EVT00453,2024-01-06,Bangalore,Fuel Shortage,Medium,10,18,2314702.44,Air,1
EVT00454,2021-01-16,Bhopal,Fuel Shortage,Low,17,3,3294329.26,Road,1
EVT00455,2022-10-03,Ahmedabad,None,Low,0,0,4154.7,Air,0
EVT00456,2021-10-26,Bhopal,Fuel Shortage,High,13,11,3555885.82,All,1
EVT00457,2023-03-22,Bangalore,Heavy Snowfall,Medium,19,1,644141.52,Air,1
EVT00458,2021-06-18,Pune,Flood,High,14,17,4336651.58,All,1
EVT00459,2023-02-15,Bhopal,None,Low,1,0,2452.55,Rail,0
EVT00460,2021-12-09,Hyderabad,Heatwave,High,19,22,2993014.53,All,1
EVT00461,2022-03-08,Indore,Cyclone,Low,5,20,3082733.18,Rail,1
EVT00462,2021-09-05,Chennai,Heavy Snowfall,Medium,1,11,3311855.02,Road,1
EVT00463,2023-05-20,Surat,Heatwave,High,5,10,4095962.91,Rail,1
EVT00464,2021-05-19,Bangalore,Infrastructure Failure,Critical,11,15,3726374.64,Air,1
EVT00465,2023-11-25,Pune,Strike,High,17,13,1554691.3,Rail,1
EVT00466,2022-07-06,Kanpur,Cyclone,Low,10,11,4407611.58,Road+Rail,1
EVT00467,2021-01-29,Bangalore,Cyclone,Low,3,14,4510697.98,Rail,1
EVT00468,2022-12-23,Nagpur,Infrastructure Failure,High,9,17,554160.95,Road,1
EVT00469,2022-07-19,Kolkata,Infrastructure Failure,Low,11,11,3396102.55,Rail,1
EVT00470,2022-07-20,Surat,Flood,Low,19,15,1561482.62,Air,1
EVT00471,2023-12-14,Bhopal,Flood,High,4,11,486934.27,Road+Rail,1
EVT00472,2023-01-25,Kolkata,Cyclone,High,3,15,1818666.18,Air,1
EVT00473,2023-05-27,Pune,Flood,Critical,17,18,177802.44,Rail,1
EVT00474,2021-07-10,Bangalore,Road Accident,Critical,21,24,1819590.46,Road,1
EVT00475,2023-09-24,Kanpur,Road Accident,Medium,19,12,3777828.57,Air,1
EVT00476,2021-10-27,Hyderabad,Strike,Critical,6,8,4586297.49,Road,1
EVT00477,2022-06-14,Jaipur,Fuel Shortage,Critical,21,12,1719302.59,All,1
EVT00478,2023-05-01,Bangalore,Fuel Shortage,Low,7,23,2792569.42,Rail,1
EVT00479,2023-12-15,Jaipur,Fuel Shortage,Critical,11,19,1955962.64,All,1
EVT00480,2021-01-31,Kanpur,Fuel Shortage,High,13,5,3031922.98,Road,1
EVT00481,2021-11-11,Surat,Fuel Shortage,Medium,11,17,711320.79,Road+Rail,1
EVT00482,2023-02-12,Ahmedabad,None,Low,1,0,3810.95,Road+Rail,0
EVT00483,2023-08-25,Surat,Cyclone,Low,12,18,3173299.8,Air,1
EVT00484,2021-09-13,Delhi,Pandemic,High,15,13,3090223.7,All,1
EVT00485,2022-10-19,Lucknow,Strike,Low,15,12,2018802.29,Road,1
EVT00486,2023-02-06,Mumbai,Road Accident,Medium,11,17,210979.73,Rail,1
EVT00487,2023-03-19,Pune,Fuel Shortage,Low,14,17,2390724.2,Air,1
EVT00488,2022-09-28,Nagpur,Infrastructure Failure,Critical,9,8,474051.1,Air,1
EVT00489,2023-12-24,Surat,None,Low,0,0,8788.7,Road+Rail,0
EVT00490,2021-01-13,Surat,Flood,Critical,20,5,2817561.52,Road,1
EVT00491,2021-11-16,Mumbai,Infrastructure Failure,Medium,10,15,1620307.79,Road+Rail,1
EVT00492,2022-01-04,Jaipur,Political Unrest,Critical,9,25,1352060.59,All,1
EVT00493,2024-01-12,Indore,Strike,High,19,11,3413873.47,Road,1
EVT00494,2023-07-26,Bangalore,Pandemic,Medium,10,3,305950.5,All,1
EVT00495,2023-10-06,Bhopal,Flood,Medium,1,8,2103744.84,Air,1
EVT00496,2023-11-25,Chennai,Cyclone,Medium,10,17,4323486.19,Road+Rail,1
EVT00497,2022-02-04,Bhopal,Political Unrest,Low,12,6,3890027.87,Road,1
EVT00498,2022-03-06,Kanpur,Fuel Shortage,Critical,16,4,3204819.3,Road+Rail,1
EVT00499,2021-08-22,Bangalore,Political Unrest,High,20,15,88878.66,Road,1
EVT00500,2022-05-16,Bangalore,Fuel Shortage,High,13,12,2629672.34,All,1
EVT00501,2023-02-15,Pune,Strike,Medium,9,9,4250797.13,Rail,1
EVT00502,2024-02-03,Bhopal,Fuel Shortage,Medium,8,21,3484771.5,Air,1
EVT00503,2022-08-08,Kanpur,Infrastructure Failure,Low,17,11,3501832.78,All,1
EVT00504,2021-08-19,Kolkata,Road Accident,Critical,15,19,1136343.54,Road+Rail,1
EVT00505,2023-03-01,Mumbai,Flood,Critical,1,17,3294696.93,Road,1
EVT00506,2022-08-18,Lucknow,Infrastructure Failure,Low,7,24,1081442.05,Road+Rail,1
EVT00507,2022-02-06,Chennai,Strike,High,21,25,4998782.44,Road+Rail,1
EVT00508,2023-06-16,Lucknow,Heatwave,Medium,14,22,4320416.8,Road,1
EVT00509,2022-05-06,Mumbai,Infrastructure Failure,High,2,9,2626048.29,Rail,1
EVT00510,2022-07-20,Delhi,Flood,Medium,17,7,905007.32,Road,1
EVT00511,2023-01-24,Chennai,Political Unrest,Low,5,18,1819142.15,Road+Rail,1
EVT00512,2021-04-15,Hyderabad,Heatwave,Critical,2,9,944636.83,Air,1
EVT00513,2023-01-21,Mumbai,Road Accident,Low,10,18,2604671.02,Air,1
EVT00514,2022-08-29,Mumbai,Fuel Shortage,High,1,23,282745.47,All,1
EVT00515,2023-11-27,Delhi,Heavy Snowfall,Critical,17,11,1898677.91,Rail,1
EVT00516,2024-03-17,Hyderabad,Cyclone,High,4,8,160603.48,Road+Rail,1
EVT00517,2021-11-03,Jaipur,Flood,Medium,6,9,1811463.58,Road+Rail,1
EVT00518,2022-10-04,Indore,None,Low,1,0,6387.48,All,0
EVT00519,2021-03-22,Kolkata,Heatwave,High,10,17,3727215.53,Road,1
EVT00520,2021-11-30,Bangalore,Cyclone,Low,16,14,162577.53,Road+Rail,1
EVT00521,2021-10-04,Pune,None,Low,0,0,1082.65,All,0
EVT00522,2021-01-19,Jaipur,Cyclone,Low,10,1,1612473.43,All,1
EVT00523,2023-10-09,Ahmedabad,Flood,Medium,10,18,3746891.92,Road,1
EVT00524,2022-08-30,Bangalore,Infrastructure Failure,High,4,13,410579.13,Air,1
EVT00525,2024-03-03,Bangalore,Heatwave,High,21,22,2750525.17,Road+Rail,1
EVT00526,2021-03-26,Pune,Infrastructure Failure,High,19,9,1929858.73,Air,1
EVT00527,2021-04-21,Indore,Flood,Low,21,17,3357328.0,Road,1
EVT00528,2023-09-29,Hyderabad,Cyclone,Low,3,7,1685182.57,Air,1
EVT00529,2023-12-18,Chennai,Political Unrest,Low,10,16,2829612.44,All,1
EVT00530,2022-04-08,Mumbai,Infrastructure Failure,Low,19,4,185969.55,Road+Rail,1
EVT00531,2021-03-10,Lucknow,Road Accident,Low,6,17,3655662.53,Road,1
EVT00532,2021-08-23,Indore,Cyclone,Medium,5,1,2411311.29,All,1
EVT00533,2021-08-23,Bhopal,Strike,Low,10,7,2581922.74,Road+Rail,1
EVT00534,2023-09-28,Nagpur,Cyclone,High,14,23,4582252.57,Road+Rail,1
EVT00535,2021-05-25,Bhopal,Infrastructure Failure,High,20,11,4004003.56,Air,1
EVT00536,2023-04-14,Chennai,Fuel Shortage,Low,1,2,2089935.12,All,1
EVT00537,2024-01-15,Bhopal,Political Unrest,Low,7,11,2743518.59,Rail,1
EVT00538,2023-01-14,Pune,Infrastructure Failure,Critical,5,11,1017587.98,Air,1
EVT00539,2023-03-05,Nagpur,Pandemic,High,8,7,3862653.03,Road+Rail,1
EVT00540,2023-10-17,Chennai,Infrastructure Failure,High,16,25,1473464.71,Air,1
EVT00541,2023-07-07,Kolkata,Infrastructure Failure,Critical,13,1,4101975.8,Rail,1
EVT00542,2024-02-20,Hyderabad,Fuel Shortage,High,5,23,2966772.33,All,1
EVT00543,2021-02-11,Chennai,Flood,High,13,3,371165.78,Rail,1
EVT00544,2021-09-19,Jaipur,Heavy Snowfall,Low,9,17,4281767.72,Air,1
EVT00545,2024-03-06,Kanpur,Heavy Snowfall,Low,4,12,64604.46,All,1
EVT00546,2023-03-19,Kanpur,Pandemic,Medium,17,9,2416904.42,Road,1
EVT00547,2023-12-21,Pune,Heavy Snowfall,Critical,17,24,2596265.4,Rail,1
EVT00548,2021-12-23,Pune,Strike,Medium,7,14,2947849.42,Air,1
EVT00549,2023-10-02,Nagpur,Road Accident,High,9,7,1325835.62,All,1
EVT00550,2021-04-20,Ahmedabad,Pandemic,High,9,10,945148.9,All,1
EVT00551,2022-11-13,Bangalore,Flood,Critical,20,23,1331111.0,Road+Rail,1
EVT00552,2023-04-18,Bangalore,Political Unrest,Low,12,23,4150514.54,Road+Rail,1
EVT00553,2022-11-06,Hyderabad,Fuel Shortage,Medium,5,13,2207835.83,Rail,1
EVT00554,2022-12-17,Nagpur,Road Accident,Critical,3,23,2172593.33,Air,1
EVT00555,2022-06-14,Chennai,Political Unrest,High,20,19,2803780.31,Road+Rail,1
EVT00556,2022-04-30,Ahmedabad,Heavy Snowfall,High,13,25,366490.33,Rail,1
EVT00557,2023-12-22,Hyderabad,Political Unrest,Low,7,1,4445355.42,Rail,1
EVT00558,2024-03-25,Kolkata,Flood,Low,7,23,3737213.29,Road+Rail,1
EVT00559,2021-10-02,Lucknow,Flood,High,14,12,4370829.16,Road,1
EVT00560,2022-12-21,Bhopal,Pandemic,High,21,9,751629.83,All,1
EVT00561,2023-09-08,Indore,Political Unrest,Medium,3,22,284183.79,Road+Rail,1
EVT00562,2022-07-26,Ahmedabad,Heatwave,Critical,8,13,2220507.62,Road,1
EVT00563,2023-08-18,Nagpur,Heatwave,Low,14,10,3525358.22,Rail,1
EVT00564,2021-05-07,Chennai,Road Accident,Medium,21,18,4330810.46,All,1
EVT00565,2023-01-26,Surat,Road Accident,Medium,18,13,1411876.89,Air,1
EVT00566,2024-02-28,Lucknow,Pandemic,High,16,1,3190373.07,Road,1
EVT00567,2024-02-17,Ahmedabad,Flood,Critical,17,8,4700998.09,Road,1
EVT00568,2021-05-21,Kolkata,Flood,High,13,9,3408062.46,All,1
EVT00569,2022-06-03,Chennai,Infrastructure Failure,Medium,13,21,632062.99,Road+Rail,1
EVT00570,2023-07-31,Nagpur,Pandemic,High,15,15,4613815.97,Rail,1
EVT00571,2021-05-25,Surat,Cyclone,Medium,9,4,3599346.5,Road,1
EVT00572,2023-09-14,Chennai,Flood,Critical,5,24,2848860.97,Rail,1
EVT00573,2022-11-13,Lucknow,Heavy Snowfall,Critical,8,22,815777.44,All,1
EVT00574,2023-03-25,Indore,Fuel Shortage,Critical,3,16,2389020.87,Air,1
EVT00575,2021-04-28,Nagpur,Road Accident,High,17,19,1009003.37,Road,1
EVT00576,2021-10-17,Indore,Flood,Critical,3,11,3401166.21,All,1
EVT00577,2023-11-25,Kanpur,Infrastructure Failure,Medium,17,24,1092997.53,Road+Rail,1
EVT00578,2022-12-28,Kanpur,Road Accident,Medium,7,12,4326716.35,Road+Rail,1
EVT00579,2023-01-02,Delhi,Heavy Snowfall,High,4,16,2848281.12,Air,1
EVT00580,2022-07-30,Indore,Strike,Low,14,17,2448742.87,Air,1
EVT00581,2023-11-27,Nagpur,Fuel Shortage,Medium,9,11,1932697.62,All,1
EVT00582,2021-04-15,Delhi,Political Unrest,Low,3,13,604251.38,All,1
EVT00583,2024-02-18,Chennai,Flood,Low,6,12,1675653.23,Air,1
EVT00584,2021-12-16,Mumbai,Heavy Snowfall,High,21,10,1261856.76,Rail,1
EVT00585,2023-05-20,Chennai,None,Low,0,0,2727.02,Road,0
EVT00586,2022-08-15,Lucknow,Fuel Shortage,Low,17,19,270869.16,Air,1
EVT00587,2023-07-23,Hyderabad,Infrastructure Failure,Medium,10,8,1209812.52,Road,1
EVT00588,2023-02-11,Pune,Heatwave,Critical,2,25,1420930.22,Rail,1
EVT00589,2022-04-19,Kanpur,Heatwave,Medium,7,6,4543400.15,Rail,1
EVT00590,2021-03-17,Mumbai,Heavy Snowfall,Medium,12,18,4223772.2,Road,1
EVT00591,2021-11-05,Nagpur,Fuel Shortage,High,14,18,3754968.35,Rail,1
EVT00592,2021-03-05,Kolkata,Heavy Snowfall,Critical,18,1,3118974.7,All,1
EVT00593,2023-12-13,Pune,Heatwave,Low,20,13,2696650.55,Air,1
EVT00594,2023-12-07,Nagpur,Heatwave,High,14,19,2198275.64,Rail,1
EVT00595,2023-01-16,Bhopal,Road Accident,Medium,17,23,1853384.84,Road,1
EVT00596,2021-11-30,Surat,Strike,Medium,6,1,3351045.79,Road,1
EVT00597,2021-07-25,Chennai,Infrastructure Failure,Medium,11,16,2252893.03,Rail,1
EVT00598,2022-04-21,Hyderabad,Road Accident,Low,3,20,4162960.89,Rail,1
EVT00599,2021-11-19,Surat,Pandemic,Low,19,24,2172963.99,Road+Rail,1
EVT00600,2021-01-28,Delhi,Cyclone,Low,11,24,3947226.24,Road+Rail,1
EVT00601,2021-08-30,Mumbai,Fuel Shortage,Medium,1,8,4379014.88,Rail,1
EVT00602,2023-07-26,Bhopal,None,Low,1,0,3357.79,Road,0
EVT00603,2021-11-15,Bangalore,Fuel Shortage,Critical,20,8,1301625.38,Road,1
EVT00604,2023-01-18,Chennai,None,Low,0,0,4045.69,Air,0
EVT00605,2022-06-04,Indore,Political Unrest,High,1,22,3208673.86,Air,1
EVT00606,2022-01-18,Ahmedabad,Strike,Critical,17,1,3642157.69,Road,1
EVT00607,2022-12-07,Hyderabad,Pandemic,Medium,11,22,2506708.05,All,1
EVT00608,2022-01-27,Bhopal,Heatwave,High,20,5,3417670.05,All,1
EVT00609,2023-03-25,Bhopal,Heatwave,Low,1,21,4269087.14,Rail,1
EVT00610,2021-01-17,Bhopal,Flood,Critical,6,6,529246.83,Road+Rail,1
EVT00611,2022-12-06,Kanpur,Cyclone,High,8,4,2735724.73,All,1
EVT00612,2021-08-10,Jaipur,Flood,Critical,10,20,4906861.09,Air,1
EVT00613,2022-04-23,Delhi,Road Accident,High,15,8,1494501.74,Air,1
EVT00614,2022-06-05,Bangalore,Infrastructure Failure,Low,1,24,3076866.39,Air,1
EVT00615,2023-11-24,Kanpur,Pandemic,Critical,14,17,3296325.94,Road+Rail,1
EVT00616,2024-03-20,Nagpur,Heatwave,Low,18,2,2262086.12,All,1
EVT00617,2022-02-23,Bangalore,Heavy Snowfall,Medium,15,5,4530364.78,All,1
EVT00618,2022-03-09,Ahmedabad,Strike,Critical,2,5,2475545.28,Rail,1
EVT00619,2021-03-13,Lucknow,None,Low,1,0,4303.85,Air,0
EVT00620,2021-08-08,Chennai,Heatwave,Low,8,19,605739.71,Road,1
EVT00621,2022-11-06,Kolkata,Pandemic,Low,10,7,4717920.12,Road,1
EVT00622,2022-12-30,Pune,Infrastructure Failure,Low,13,12,143577.12,Road,1
EVT00623,2023-01-11,Mumbai,None,Low,0,0,3322.54,All,0
EVT00624,2022-02-21,Kanpur,Fuel Shortage,Critical,2,25,1482340.33,Road,1
EVT00625,2021-02-08,Delhi,Fuel Shortage,Medium,6,18,3296801.09,Rail,1
EVT00626,2021-10-25,Surat,Fuel Shortage,Low,1,12,2052207.71,Road+Rail,1
EVT00627,2022-09-08,Bangalore,Road Accident,High,17,15,390714.38,Rail,1
EVT00628,2022-04-29,Pune,Infrastructure Failure,Low,5,22,1488809.17,Rail,1
EVT00629,2021-12-25,Delhi,Heatwave,Critical,15,13,1224102.54,Road+Rail,1
EVT00630,2021-03-31,Kolkata,Heavy Snowfall,High,9,10,1618438.26,All,1
EVT00631,2021-02-04,Hyderabad,None,Low,1,0,7196.46,Road,0
EVT00632,2022-03-26,Kolkata,Road Accident,Critical,3,12,1815305.85,Road+Rail,1
EVT00633,2022-11-26,Lucknow,Cyclone,High,11,12,3282927.46,All,1
EVT00634,2021-09-16,Surat,Fuel Shortage,Low,11,24,3494344.78,Road,1
